fs80,fs_category,description,lines_in_corpus,count_listed_on_site
369,"Reptiles, fish, birds",A row of three gharials to R. in file surrounded by school of fish.,1,1
371,"Reptiles, fish, birds",Inscribed object in the shape of fish.,14,14
380,"Reptiles, fish, birds",Tortoise.,1,1
390,"Reptiles, fish, birds",Inscribed object in the shape of tortoise.,1,1
401,"Reptiles, fish, birds",Frog to R.,1,1
412,"Reptiles, fish, birds","Serpent to L, partly reclining on a low platform under a tree.",1,1
420,"Reptiles, fish, birds",Serpent (?) entwined around a pillar with capital (?) carved in high Relief on the reverse side of the object.,9,9
431,"Reptiles, fish, birds",Bird in flight to R.,4,4
441,Trees and leaves,Kino Tree.,12,12
442,Trees and leaves,Kino Tree within railing.,18,18
443,Trees and leaves,Kino Tree and Svastika.,1,1
444,Trees and leaves,Kino Tree with Endless Knot.,3,3
450,Trees and leaves,Rosette of pipal leaves.,1,1
460,Trees and leaves,Inscribed object in the shape of a pipal leaf.,3,3
470,Anthropomorphic forms,Horned personage seated on a pedestal.,4,3
480,Anthropomorphic forms,"Horned personage (with three visible faces) seated on a pedestal And surrounded by five animals (rhinoceros, buffalo, antelope, tiger, and elephant (from R.).",2,1
490,Anthropomorphic forms,Personage seated on a pedestal flanked on either side by a kneeling adorant and a hooded serpent rearing up.,2,2
501,Anthropomorphic forms,"Standing personage wearing a diadem or tall head-dress, between two posts.",1,1
502,Anthropomorphic forms,Standing personage under ornamental arch with pipal leaves.,1,1
503,Anthropomorphic forms,Standing personage with diadem under ornamental arch.,1,1
511,Anthropomorphic forms,Standing personage with horns and bovine features and tall head-dress.,1,1
512,Anthropomorphic forms,"Standing personage, with horn and bovine features, in dancing pose.",1,1
513,Anthropomorphic forms,,2,0
520,Anthropomorphic forms,"Standing personage with horns and bovine features, holding bow in One hand and arrow or uncertain object in the other (generally known as 'the Divine Archer').",6,6
530,Anthropomorphic forms,"Standing personage with horns and bovine features, holding staff Or mace on his shoulder.",3,3
540,Anthropomorphic forms,Person carrying cult object.,1,1
550,Anthropomorphic forms,Man armed with sickle-shaped weapon facing seated woman with disheveled hair and upraised arms.,1,1
560,Anthropomorphic forms,Drummer (?) flanked by two persons.,1,1
570,Anthropomorphic forms,Three dancing figures in a row.,2,2
580,Anthropomorphic forms,"Four persons in a procession, each carrying a standard, one of which has the figure of unicorn at top andanother has the lower bowl and staff of the cult object.",2,2
590,Anthropomorphic forms,Seven robed figures standing in a row.,2,1
600,Scenes,Person standing at the centre between two-tiered structure at R. and short-horned bull standing near trident-headed post at L.,1,1
610,Scenes,"Person standing at the centre pointing with his right hand at short-horned bull facing feeding trough, and with his left hand at the sign 015.",1,1
620,Scenes,Short-horned bull trampling (copulating?) prostrate person (female?) lying spread-eagled on the ground.,2,1
630,Scenes,Person throwing a spear at short-horned bull and placing one foot on the head of the animal; a hooded serpent at L.,1,1
640,Scenes,Person throwing a spear at buffalo and placing one foot on its head.,2,1
650,Scenes,Person throwing a spear at buffalo and placing one foot on its head ; three persons standing near tree at the centre.,1,1
660,Scenes,Groups of persons vaulting over uncertain bovine animal.,1,1
670,Scenes,Horned female personage with tail and bovine legs standing near kino tree and attacking horned tiger rearing on its hind legs.,1,1
680,Scenes,"Fabulous personage with composite body of human (female?) being in the upper half and of tiger in the lower half, having horns and trident-like head-dress facing group of three persons consisting of a woman in the middle flanked by two men on either side throwing spears at each other over her head.",1,1
690,Scenes,Person grappling with two tigers standing on either side of him and rearing on its hind legs.(Generally compared with the Gilgamesh legend of West Asia; identified by Mahadevan with the Sarvadamana (queller of beasts)Bharata legend).,3,3
700,Scenes,"At R., nude female figure upside down with thighs drawn apart, and a crab (?) issuing from her womb ; two tigers standing face to face rearing on hind legs at L.",1,1
710,Scenes,Drummer in the centre; tiger at R. looking to L.,1,1
720,Scenes,Person at L. kneeling before a tiger looking L.,2,1
730,Scenes,Person seated on machan on Kino tree ; A tiger below to R. looking at him.,6,5
740,Scenes,From R.  Fabulous animal as in FS 251 ; person seated on a tree with tiger below ; Svastika within a square,1,1
750,Scenes,"From R.  woman with outstretched arms flanked by two men, each holding one uprooted tree in his hand; person seated on a tree with tiger below ; tall jar with lid.",3,3
760,Scenes,From R.  Tiger looking at goat; seated personage on pedestal; person seated on a tree with tiger below.,1,1
770,Scenes,From R.  Horned personage standing between two branches of a pipal tree ; ram ; horned personage kneeling in adoration ; a low pedestal with some offerings on it.,1,1
780,Scenes,From R. - horned personage standing between two branches of a pipal tree ; low pedestal in front with some offerings ; horned personage kneeling in adoration; ram behind him ; row of seven robed persons in the lower register.,3,1
790,Scenes,From R.  Personage standing under an ornamental arch; kneeling adorant in front ; ram behind him.,1,1
800,Scenes,From R.  Person holding vessel; woman with platter (?); kneeling person holding staff facing the woman ; goat with forelegs resting on platform under Kino tree.,1,1
810,Scenes,In the upper register from R.  person grappling with two animals (tigers?) ; horned personage standing behind pedestal ; Kino tree. In the lower register from R.  bird in flight over unicorn ; antelope ; two short-horned bulls facing each other.,1,1
821,"Symbols, motifs, geometric patterns",Svastika generally within square or rectangular border.,2,2
822,"Symbols, motifs, geometric patterns",Row of five svastikas enclosed in square borders.,1,1
831,"Symbols, motifs, geometric patterns",One or more dotted circles.,66,66
832,"Symbols, motifs, geometric patterns",Rosette of large dotted circles with seven smaller dotted circles.,1,1
840,"Symbols, motifs, geometric patterns",Lozenge within circle with dot in the centre.,1,1
851,"Symbols, motifs, geometric patterns",Cult object (the so-called 'manger' or 'incense-burner') identified by Mahadevan as a 'sacred filter'.,18,16
852,"Symbols, motifs, geometric patterns",A frieze of cult objects alternating with of vertical rows of circles.,3,3
860,"Symbols, motifs, geometric patterns",The Endless Knot motif.,4,4
870,"Symbols, motifs, geometric patterns",Boat.,3,3
880,"Symbols, motifs, geometric patterns",Anchor (?),1,1
890,"Symbols, motifs, geometric patterns",A large device in the upper register showing number of small circles (holes ?) in three rows with another row of short vertical lines below (identified as a â€˜seed drillâ€™).,1,1
900,"Symbols, motifs, geometric patterns",Inscribed object in the shape of a heart (?),3,3
